inn,reportdate,1110,1150,2110,default_flag
100000001,2020-03-31,8326,3252,1685,1
100000006,2018-12-31,1943,8780,3076,1
100000007,2020-06-30,6115,1318,4596,1
100000010,2020-06-30,9283,7127,4242,1
100000011,2019-09-30,7905,5337,659,1
100000021,2019-03-31,771,6877,7670,1
100000026,2019-12-31,8235,5667,7767,1
100000028,2018-12-31,1892,5832,3576,1
100000031,2018-12-31,922,1043,6250,1
100000032,2020-06-30,1722,8141,441,1
100000035,2018-12-31,4093,8780,8144,1
100000036,2019-06-30,6740,5568,1020,1
100000042,2020-03-31,1084,5876,3776,1
100000043,2019-12-31,8565,1489,8457,1
100000049,2018-12-31,2069,991,4570,1
100000050,2020-06-30,554,9916,2872,1
100000052,2019-09-30,8736,6541,5147,1
100000055,2019-06-30,7223,1779,336,1
100000064,2019-06-30,2734,4083,1878,1
100000067,2019-06-30,3391,8561,731,1
100000068,2020-06-30,3162,2436,9979,1
100000071,2019-12-31,1629,9886,8538,1
100000073,2019-12-31,492,1887,7474,1
100000075,2018-12-31,2624,9377,2579,1
100000077,2018-12-31,803,5582,6476,1
100000080,2018-12-31,106,3367,6664,1
100000081,2019-09-30,5768,6413,8415,1
100000085,2019-12-31,8492,8548,3847,1
100000093,2019-09-30,9838,5058,9897,1
100000094,2020-06-30,8248,2317,5067,1
100000095,2019-09-30,9921,7878,3796,1
100000102,2019-03-31,2088,3902,5908,1
100000107,2020-06-30,8776,8937,4857,1
100000110,2018-12-31,6091,3506,9023,1
100000114,2020-03-31,7182,7932,5495,1
100000118,2019-06-30,2248,5557,6179,1
100000121,2019-03-31,8212,8567,2647,1
100000122,2019-03-31,7092,6871,242,1
100000125,2018-12-31,7399,4282,2330,1
100000129,2018-12-31,5284,2502,4995,1
100000130,2019-12-31,2153,8579,5837,1
100000132,2018-12-31,4880,3892,3041,1
100000135,2019-09-30,6083,243,8307,1
100000139,2018-12-31,425,9826,7874,1
100000141,2018-12-31,4937,8205,1343,1
100000148,2018-12-31,2138,4370,4783,1
100000000,2018-12-31,7370,960,5490,0
100000000,2019-03-31,5291,5834,6365,0
100000000,2019-06-30,566,4526,5678,0
100000000,2019-09-30,8422,1785,869,0
100000000,2019-12-31,7049,2533,5411,0
100000000,2020-03-31,5151,6520,1284,0
100000000,2020-06-30,4655,3485,6496,0
100000001,2018-12-31,3656,3990,8938,0
100000001,2019-03-31,5493,8892,8533,0
100000001,2019-06-30,7613,2712,7141,0
100000001,2019-09-30,9655,6335,5586,0
100000001,2019-12-31,7199,9770,875,0
100000002,2018-12-31,6963,8016,8629,0
100000002,2019-03-31,978,9368,4987,0
100000002,2019-06-30,4959,6431,8671,0
100000002,2019-09-30,8784,7308,5376,0
100000002,2019-12-31,2162,164,8106,0
100000002,2020-03-31,2668,5563,2127,0
100000002,2020-06-30,2795,9787,5358,0
100000003,2018-12-31,9862,5156,8210,0
100000003,2019-03-31,3940,1128,7485,0
100000003,2019-06-30,602,7010,9162,0
100000003,2019-09-30,7038,4588,306,0
100000003,2019-12-31,5234,6077,7821,0
100000003,2020-03-31,7135,1584,7958,0
100000003,2020-06-30,963,2890,7508,0
100000004,2018-12-31,2793,3727,9655,0
100000004,2019-03-31,5550,1763,9821,0
100000004,2019-06-30,5692,7492,1406,0
100000004,2019-09-30,6876,5964,9574,0
100000004,2019-12-31,7626,9001,5675,0
100000004,2020-03-31,5630,4513,3848,0
100000004,2020-06-30,763,2098,8094,0
100000005,2018-12-31,8264,5955,7492,0
100000005,2019-03-31,6628,5349,5272,0
100000005,2019-06-30,1807,5891,5635,0
100000005,2019-09-30,5031,3610,302,0
100000005,2019-12-31,4318,9058,4489,0
100000005,2020-03-31,2427,8104,3031,0
100000005,2020-06-30,7877,297,7225,0
100000006,2019-03-31,2059,5859,6794,0
100000006,2019-06-30,2485,4836,1902,0
100000006,2019-09-30,8255,8220,6716,0
100000006,2019-12-31,5634,4161,362,0
100000006,2020-03-31,6387,8915,9308,0
100000006,2020-06-30,2149,5523,4648,0
100000007,2018-12-31,8545,2657,5692,0
100000007,2019-03-31,198,2300,3061,0
100000007,2019-06-30,5073,4533,2969,0
100000007,2019-09-30,1056,8452,5799,0
100000007,2019-12-31,7044,4593,9592,0
100000007,2020-03-31,5011,4087,9819,0
100000008,2018-12-31,9251,5700,8096,0
100000008,2019-03-31,9107,7783,4742,0
100000008,2019-06-30,7779,8308,7439,0
100000008,2019-09-30,9535,2305,1169,0
100000008,2019-12-31,3544,1160,2427,0
100000008,2020-03-31,3520,401,706,0
100000008,2020-06-30,3270,799,5188,0
100000009,2018-12-31,2833,3963,7555,0
100000009,2019-03-31,4114,1786,3109,0
100000009,2019-06-30,7906,254,1509,0
100000009,2019-09-30,884,8196,7660,0
100000009,2019-12-31,7443,7306,5696,0
100000009,2020-03-31,5901,2906,637,0
100000009,2020-06-30,6086,1941,8816,0
100000010,2018-12-31,4246,3869,674,0
100000010,2019-03-31,1248,6393,6557,0
100000010,2019-06-30,7609,4877,3954,0
100000010,2019-09-30,2591,3224,5791,0
100000010,2019-12-31,3151,104,5322,0
100000010,2020-03-31,5415,4969,976,0
100000011,2018-12-31,6049,2938,1250,0
100000011,2019-03-31,7660,2031,9304,0
100000011,2019-06-30,1764,1181,612,0
100000012,2018-12-31,6765,2949,7490,0
100000012,2019-03-31,7005,2589,9923,0
100000012,2019-06-30,9307,9640,4711,0
100000012,2019-09-30,2939,8627,5978,0
100000012,2019-12-31,9187,6403,951,0
100000012,2020-03-31,1787,6933,2527,0
100000012,2020-06-30,9860,4100,5152,0
100000013,2018-12-31,6848,9917,517,0
100000013,2019-03-31,8406,8908,4074,0
100000013,2019-06-30,3367,925,7768,0
100000013,2019-09-30,5845,9808,512,0
100000013,2019-12-31,7643,7687,828,0
100000013,2020-03-31,7264,8967,6088,0
100000013,2020-06-30,2604,3067,2886,0
100000014,2018-12-31,8887,828,1465,0
100000014,2019-03-31,4592,798,7286,0
100000014,2019-06-30,495,7500,8182,0
100000014,2019-09-30,4271,4460,2602,0
100000014,2019-12-31,817,2882,5046,0
100000014,2020-03-31,5586,8435,5080,0
100000014,2020-06-30,7366,4591,7292,0
100000015,2018-12-31,4430,8110,6901,0
100000015,2019-03-31,4946,6831,7341,0
100000015,2019-06-30,1053,2639,7156,0
100000015,2019-09-30,1642,5393,1291,0
100000015,2019-12-31,6413,7038,2781,0
100000015,2020-03-31,9509,1640,6272,0
100000015,2020-06-30,5641,9680,1465,0
100000016,2018-12-31,9005,6077,4368,0
100000016,2019-03-31,4848,4949,9535,0
100000016,2019-06-30,3809,9373,6719,0
100000016,2019-09-30,8747,9186,9676,0
100000016,2019-12-31,3172,6630,604,0
100000016,2020-03-31,1314,1631,7676,0
100000016,2020-06-30,923,1028,5129,0
100000017,2018-12-31,9688,8153,3430,0
100000017,2019-03-31,2803,8762,8220,0
100000017,2019-06-30,7214,1453,5163,0
100000017,2019-09-30,8649,7675,767,0
100000017,2019-12-31,4568,9437,6919,0
100000017,2020-03-31,3819,2845,7583,0
100000017,2020-06-30,639,5064,4935,0
100000018,2018-12-31,4904,1938,109,0
100000018,2019-03-31,2971,9089,7509,0
100000018,2019-06-30,7518,5224,1115,0
100000018,2019-09-30,2293,8515,7549,0
100000018,2019-12-31,4258,4025,7070,0
100000018,2020-03-31,7038,4884,4100,0
100000018,2020-06-30,1733,7366,8802,0
100000019,2018-12-31,2148,4880,816,0
100000019,2019-03-31,8039,5665,4644,0
100000019,2019-06-30,5076,3519,7339,0
100000019,2019-09-30,9866,349,8965,0
100000019,2019-12-31,870,4463,1177,0
100000019,2020-03-31,8527,8680,8001,0
100000019,2020-06-30,4958,6644,4819,0
100000020,2018-12-31,4361,7748,9650,0
100000020,2019-03-31,5215,4737,4954,0
100000020,2019-06-30,3277,7830,2280,0
100000020,2019-09-30,4992,7143,237,0
100000020,2019-12-31,6427,3572,5549,0
100000020,2020-03-31,2932,3679,6071,0
100000020,2020-06-30,4264,8041,5669,0
100000021,2018-12-31,3366,766,4288,0
100000021,2020-03-31,2493,2693,7340,0
100000021,2020-06-30,7037,6290,5340,0
100000022,2018-12-31,4721,5226,5222,0
100000022,2019-03-31,1746,1018,2897,0
100000022,2019-06-30,6606,5970,1631,0
100000022,2019-09-30,8272,3445,7773,0
100000022,2019-12-31,7049,6982,2006,0
100000022,2020-03-31,3186,8252,5850,0
100000022,2020-06-30,9005,1162,2076,0
100000023,2018-12-31,9785,8043,6991,0
100000023,2019-03-31,6838,2572,2839,0
100000023,2019-06-30,5501,1861,976,0
100000023,2019-09-30,3912,9604,1560,0
100000023,2019-12-31,1833,1705,5722,0
100000023,2020-03-31,6867,7086,3617,0
100000023,2020-06-30,3835,9452,8534,0
100000024,2018-12-31,946,6416,6569,0
100000024,2019-03-31,9433,9015,324,0
100000024,2019-06-30,4308,6383,2148,0
100000024,2019-09-30,6333,9865,1928,0
100000024,2019-12-31,2017,4334,7088,0
100000024,2020-03-31,2126,3844,9193,0
100000024,2020-06-30,109,360,6138,0
100000025,2018-12-31,335,2008,8667,0
100000025,2019-03-31,3630,5356,2735,0
100000025,2019-06-30,8262,9862,2660,0
100000025,2019-09-30,5515,3491,6051,0
100000025,2019-12-31,5568,8107,9164,0
100000025,2020-03-31,9544,6513,7041,0
100000025,2020-06-30,9606,4920,2998,0
100000026,2018-12-31,9284,2812,2292,0
100000026,2019-03-31,1348,4133,2097,0
100000026,2019-06-30,3787,4118,2070,0
100000026,2019-09-30,8489,5865,1302,0
100000027,2018-12-31,3328,3819,2471,0
100000027,2019-03-31,2991,3856,4325,0
100000027,2019-06-30,194,2774,6998,0
100000027,2019-09-30,893,2216,5879,0
100000027,2019-12-31,6266,914,445,0
100000027,2020-03-31,8654,2543,7883,0
100000027,2020-06-30,1084,7890,9931,0
100000028,2019-06-30,3130,2972,3172,0
100000028,2019-09-30,1954,4121,4762,0
100000028,2019-12-31,6614,5131,2808,0
100000028,2020-03-31,7212,9624,8493,0
100000028,2020-06-30,3607,6556,4312,0
100000029,2018-12-31,2090,5399,3672,0
100000029,2019-03-31,6075,6420,4480,0
100000029,2019-06-30,4857,2813,5688,0
100000029,2019-09-30,1066,5044,3532,0
100000029,2019-12-31,788,4343,3801,0
100000029,2020-03-31,8633,5282,6804,0
100000029,2020-06-30,4522,1859,9281,0
100000030,2018-12-31,5183,5332,5897,0
100000030,2019-03-31,9238,5026,6116,0
100000030,2019-06-30,3435,8138,4973,0
100000030,2019-09-30,1581,6405,3551,0
100000030,2019-12-31,154,7743,3562,0
100000030,2020-03-31,932,6054,8619,0
100000030,2020-06-30,7321,3410,3400,0
100000031,2019-09-30,9206,1408,4277,0
100000031,2019-12-31,8805,6952,6135,0
100000031,2020-03-31,3694,4941,1509,0
100000031,2020-06-30,4666,4591,1655,0
100000032,2018-12-31,4133,8528,1404,0
100000032,2019-03-31,7468,5977,1401,0
100000032,2019-06-30,2641,2151,6909,0
100000032,2019-09-30,8733,9096,174,0
100000032,2019-12-31,7081,5575,8332,0
100000032,2020-03-31,7284,5896,7241,0
100000033,2018-12-31,1486,2966,4888,0
100000033,2019-03-31,5590,4224,8440,0
100000033,2019-06-30,3950,5515,7779,0
100000033,2019-09-30,6919,9428,8478,0
100000033,2019-12-31,9542,1433,4250,0
100000033,2020-03-31,6866,2811,4953,0
100000033,2020-06-30,6312,7579,5508,0
100000034,2018-12-31,160,9230,1739,0
100000034,2019-03-31,6285,8070,1352,0
100000034,2019-06-30,4303,8463,9750,0
100000034,2019-09-30,3649,4297,7109,0
100000034,2019-12-31,6767,2422,9928,0
100000034,2020-03-31,4190,7060,3104,0
100000034,2020-06-30,5236,429,3740,0
100000035,2019-06-30,8692,6013,7224,0
100000035,2019-09-30,3257,490,4530,0
100000035,2019-12-31,8920,7786,4332,0
100000035,2020-03-31,8107,1621,9118,0
100000035,2020-06-30,1600,6837,3394,0
100000036,2018-12-31,230,3083,4378,0
100000036,2019-03-31,7226,8330,7794,0
100000036,2020-06-30,7306,9105,2132,0
100000037,2018-12-31,2133,6567,245,0
100000037,2019-03-31,4488,7932,8723,0
100000037,2019-06-30,8996,8273,2732,0
100000037,2019-09-30,4594,8156,7611,0
100000037,2019-12-31,9255,1928,9230,0
100000037,2020-03-31,4905,906,9755,0
100000037,2020-06-30,7586,8302,1968,0
100000038,2018-12-31,7314,826,2836,0
100000038,2019-03-31,2013,9888,7757,0
100000038,2019-06-30,2566,9141,7412,0
100000038,2019-09-30,8294,8006,4976,0
100000038,2019-12-31,7387,992,4775,0
100000038,2020-03-31,2033,1480,1390,0
100000038,2020-06-30,1740,7590,9279,0
100000039,2018-12-31,8328,3120,9087,0
100000039,2019-03-31,4136,5168,5333,0
100000039,2019-06-30,9616,417,2496,0
100000039,2019-09-30,2262,2845,1691,0
100000039,2019-12-31,6283,4030,1412,0
100000039,2020-03-31,9577,4411,7414,0
100000039,2020-06-30,2483,3339,2239,0
100000040,2018-12-31,6606,3841,9866,0
100000040,2019-03-31,4098,2503,8880,0
100000040,2019-06-30,9839,394,5443,0
100000040,2019-09-30,9982,1236,2164,0
100000040,2019-12-31,7109,4643,1107,0
100000040,2020-03-31,5545,5452,9539,0
100000040,2020-06-30,1535,671,2482,0
100000041,2018-12-31,2453,7537,4899,0
100000041,2019-03-31,786,8576,4911,0
100000041,2019-06-30,9054,5446,5143,0
100000041,2019-09-30,2528,5226,8320,0
100000041,2019-12-31,9198,7913,9745,0
100000041,2020-03-31,3456,8807,7366,0
100000041,2020-06-30,6640,138,3442,0
100000042,2018-12-31,5726,7524,1033,0
100000042,2019-03-31,3698,2080,3156,0
100000042,2019-06-30,9084,891,5490,0
100000042,2019-09-30,6735,2355,3710,0
100000042,2019-12-31,1707,5279,6673,0
100000043,2018-12-31,5897,9308,7199,0
100000043,2019-03-31,5209,6744,216,0
100000043,2019-06-30,2533,5563,683,0
100000043,2019-09-30,8686,3888,4267,0
100000044,2018-12-31,6468,2049,6832,0
100000044,2019-03-31,7933,1017,3274,0
100000044,2019-06-30,7114,189,1809,0
100000044,2019-09-30,3141,205,9178,0
100000044,2019-12-31,8719,1995,6190,0
100000044,2020-03-31,8608,6182,734,0
100000044,2020-06-30,2025,2156,7017,0
100000045,2018-12-31,994,614,7394,0
100000045,2019-03-31,5004,7967,4209,0
100000045,2019-06-30,7279,1660,1366,0
100000045,2019-09-30,3738,9041,3527,0
100000045,2019-12-31,4880,2027,2456,0
100000045,2020-03-31,4890,406,8079,0
100000045,2020-06-30,3765,7157,761,0
100000046,2018-12-31,3553,6775,1055,0
100000046,2019-03-31,6395,1812,4803,0
100000046,2019-06-30,6663,9565,5731,0
100000046,2019-09-30,9733,1494,9561,0
100000046,2019-12-31,4832,3814,629,0
100000046,2020-03-31,3058,8004,3691,0
100000046,2020-06-30,6995,9231,625,0
100000047,2018-12-31,2213,9544,4456,0
100000047,2019-03-31,5643,4655,7162,0
100000047,2019-06-30,3474,6530,3566,0
100000047,2019-09-30,3181,729,369,0
100000047,2019-12-31,5824,5997,3532,0
100000047,2020-03-31,9572,6376,5995,0
100000047,2020-06-30,7215,6756,675,0
100000048,2018-12-31,719,1374,1056,0
100000048,2019-03-31,2039,4053,1068,0
100000048,2019-06-30,9608,9335,381,0
100000048,2019-09-30,6362,1158,4393,0
100000048,2019-12-31,5278,7080,9300,0
100000048,2020-03-31,1329,9327,4685,0
100000048,2020-06-30,8567,2840,2389,0
100000049,2019-09-30,4712,9810,1298,0
100000049,2019-12-31,5338,6189,6357,0
100000049,2020-03-31,7805,3819,402,0
100000049,2020-06-30,1086,4540,5009,0
100000050,2018-12-31,3330,588,7214,0
100000050,2019-03-31,9639,3273,1767,0
100000050,2019-06-30,9929,4214,3653,0
100000050,2019-09-30,7861,1100,9142,0
100000050,2019-12-31,1488,5550,3812,0
100000050,2020-03-31,1467,8289,9113,0
100000051,2018-12-31,6328,6571,2963,0
100000051,2019-03-31,1277,4860,111,0
100000051,2019-06-30,5352,4499,8334,0
100000051,2019-09-30,9235,5545,6670,0
100000051,2019-12-31,9296,8312,506,0
100000051,2020-03-31,9306,4531,5343,0
100000051,2020-06-30,6642,7036,9006,0
100000052,2018-12-31,2237,4545,3630,0
100000052,2019-03-31,1386,7152,3754,0
100000052,2019-06-30,7202,2459,8205,0
100000053,2018-12-31,6774,3783,7327,0
100000053,2019-03-31,3373,7100,245,0
100000053,2019-06-30,5110,3140,9754,0
100000053,2019-09-30,9876,582,3279,0
100000053,2019-12-31,1349,730,8953,0
100000053,2020-03-31,2952,1087,7722,0
100000053,2020-06-30,7427,9838,8941,0
100000054,2018-12-31,1225,9482,6864,0
100000054,2019-03-31,5201,7943,172,0
100000054,2019-06-30,5572,5289,2572,0
100000054,2019-09-30,807,1904,6804,0
100000054,2019-12-31,3813,5151,2575,0
100000054,2020-03-31,3710,4355,7497,0
100000054,2020-06-30,1835,9877,8358,0
100000055,2018-12-31,2765,2593,6913,0
100000055,2019-03-31,732,3183,3819,0
100000055,2020-06-30,4137,6649,7221,0
100000056,2018-12-31,5399,7674,1789,0
100000056,2019-03-31,3367,4506,8553,0
100000056,2019-06-30,1542,8697,4537,0
100000056,2019-09-30,5535,8535,4207,0
100000056,2019-12-31,660,8885,5648,0
100000056,2020-03-31,1926,7729,8425,0
100000056,2020-06-30,3238,7793,8364,0
100000057,2018-12-31,8529,2630,2060,0
100000057,2019-03-31,7145,1148,5872,0
100000057,2019-06-30,2629,3064,7237,0
100000057,2019-09-30,1063,636,7440,0
100000057,2019-12-31,7279,8067,8834,0
100000057,2020-03-31,945,5877,3136,0
100000057,2020-06-30,6047,2594,2819,0
100000058,2018-12-31,1279,9174,6506,0
100000058,2019-03-31,8691,7007,8900,0
100000058,2019-06-30,1738,5771,7028,0
100000058,2019-09-30,1482,1503,9111,0
100000058,2019-12-31,3392,9111,519,0
100000058,2020-03-31,4617,3402,7957,0
100000058,2020-06-30,9800,7970,5793,0
100000059,2018-12-31,5642,9192,6456,0
100000059,2019-03-31,8533,7480,2485,0
100000059,2019-06-30,4368,771,263,0
100000059,2019-09-30,8756,4692,4895,0
100000059,2019-12-31,4898,6136,2455,0
100000059,2020-03-31,5987,8061,5927,0
100000059,2020-06-30,8837,4819,693,0
100000060,2018-12-31,9412,7277,8533,0
100000060,2019-03-31,3997,8223,2379,0
100000060,2019-06-30,9080,7551,9006,0
100000060,2019-09-30,875,6969,2347,0
100000060,2019-12-31,7188,178,8180,0
100000060,2020-03-31,7199,4026,9147,0
100000060,2020-06-30,7440,7183,6330,0
100000061,2018-12-31,5610,8854,9064,0
100000061,2019-03-31,6593,5539,9865,0
100000061,2019-06-30,6611,7604,1346,0
100000061,2019-09-30,3939,8651,2476,0
100000061,2019-12-31,3109,9254,1927,0
100000061,2020-03-31,7079,9905,9932,0
100000061,2020-06-30,8669,4385,7010,0
100000062,2018-12-31,5884,4683,6046,0
100000062,2019-03-31,5041,6367,7228,0
100000062,2019-06-30,2561,785,2260,0
100000062,2019-09-30,7131,9859,5441,0
100000062,2019-12-31,138,4975,1356,0
100000062,2020-03-31,7797,2296,7265,0
100000062,2020-06-30,401,7627,6481,0
100000063,2018-12-31,1824,1476,8806,0
100000063,2019-03-31,8994,1753,2166,0
100000063,2019-06-30,122,2560,6026,0
100000063,2019-09-30,6351,9596,7395,0
100000063,2019-12-31,3400,6379,8653,0
100000063,2020-03-31,7453,3827,6372,0
100000063,2020-06-30,6095,9576,614,0
100000064,2018-12-31,8605,3183,1137,0
100000064,2019-03-31,3589,7704,7644,0
100000064,2020-06-30,9335,2029,1113,0
100000065,2018-12-31,6743,4059,261,0
100000065,2019-03-31,693,3490,6097,0
100000065,2019-06-30,6454,763,9424,0
100000065,2019-09-30,641,5533,5193,0
100000065,2019-12-31,967,8723,5569,0
100000065,2020-03-31,6356,9498,1269,0
100000065,2020-06-30,930,1751,1236,0
100000066,2018-12-31,5724,8791,8429,0
100000066,2019-03-31,2197,5168,6497,0
100000066,2019-06-30,2857,4020,8286,0
100000066,2019-09-30,2000,2710,7000,0
100000066,2019-12-31,1549,8838,5117,0
100000066,2020-03-31,8099,6152,2196,0
100000066,2020-06-30,8995,6504,9917,0
100000067,2018-12-31,4813,9657,9535,0
100000067,2019-03-31,5098,262,2074,0
100000067,2020-06-30,2743,8117,2397,0
100000068,2018-12-31,5532,4360,2461,0
100000068,2019-03-31,6264,3770,1853,0
100000068,2019-06-30,8200,2038,8662,0
100000068,2019-09-30,6076,6688,8716,0
100000068,2019-12-31,6404,7445,7975,0
100000068,2020-03-31,9186,6733,697,0
100000069,2018-12-31,8635,8274,8203,0
100000069,2019-03-31,5513,4766,710,0
100000069,2019-06-30,1827,1954,5155,0
100000069,2019-09-30,2424,9469,9383,0
100000069,2019-12-31,5874,6619,1849,0
100000069,2020-03-31,881,7648,6923,0
100000069,2020-06-30,2205,3967,7293,0
100000070,2018-12-31,6511,107,8187,0
100000070,2019-03-31,2655,575,5516,0
100000070,2019-06-30,8776,7339,6810,0
100000070,2019-09-30,5100,4754,8178,0
