inn,reportdate,1110,1150,2110,default_flag
100000070,2019-12-31,6163,2385,5323,0
100000070,2020-03-31,7071,3625,2922,0
100000070,2020-06-30,5043,6630,358,0
100000071,2018-12-31,2691,7283,5348,0
100000071,2019-03-31,8866,5208,3704,0
100000071,2019-06-30,769,4464,7429,0
100000071,2019-09-30,1383,1023,1225,0
100000072,2018-12-31,3931,9533,8481,0
100000072,2019-03-31,9272,9990,1815,0
100000072,2019-06-30,6550,5533,1198,0
100000072,2019-09-30,7196,2426,9187,0
100000072,2019-12-31,6516,7080,6863,0
100000072,2020-03-31,1774,8050,9222,0
100000072,2020-06-30,9015,6149,1189,0
100000073,2018-12-31,6140,6025,7458,0
100000073,2019-03-31,4728,6470,9628,0
100000073,2019-06-30,1048,8279,6215,0
100000073,2019-09-30,559,7668,4746,0
100000074,2018-12-31,4349,1850,4857,0
100000074,2019-03-31,2067,4188,4278,0
100000074,2019-06-30,7889,3046,9741,0
100000074,2019-09-30,5494,7980,5175,0
100000074,2019-12-31,7330,1631,3090,0
100000074,2020-03-31,7255,4593,9435,0
100000074,2020-06-30,1033,1560,2823,0
100000075,2019-03-31,9985,5254,878,0
100000075,2019-06-30,9877,1592,760,0
100000075,2019-09-30,1448,9591,7951,0
100000075,2019-12-31,7256,2144,7468,0
100000075,2020-03-31,3616,9350,9268,0
100000075,2020-06-30,4677,827,7568,0
100000076,2018-12-31,293,2107,1285,0
100000076,2019-03-31,2494,9402,4105,0
100000076,2019-06-30,7529,2361,3836,0
100000076,2019-09-30,6816,4975,9021,0
100000076,2019-12-31,4478,7915,3551,0
100000076,2020-03-31,7716,9936,2900,0
100000076,2020-06-30,8433,5510,1555,0
100000077,2019-06-30,4748,955,2966,0
100000077,2019-09-30,282,3212,5770,0
100000077,2019-12-31,4592,5923,1617,0
100000077,2020-03-31,5102,1456,3729,0
100000077,2020-06-30,3728,8310,6232,0
100000078,2018-12-31,1975,7093,4133,0
100000078,2019-03-31,5543,1089,3844,0
100000078,2019-06-30,8711,693,1874,0
100000078,2019-09-30,1035,3908,431,0
100000078,2019-12-31,8022,2802,5989,0
100000078,2020-03-31,5154,3968,4300,0
100000078,2020-06-30,301,2597,1942,0
100000079,2018-12-31,8080,2098,5576,0
100000079,2019-03-31,9528,4769,9442,0
100000079,2019-06-30,4418,7164,7546,0
100000079,2019-09-30,1531,5724,7561,0
100000079,2019-12-31,1919,1230,6663,0
100000079,2020-03-31,2758,3600,8666,0
100000079,2020-06-30,2220,4120,3359,0
100000080,2019-03-31,9883,5028,2706,0
100000080,2019-06-30,6006,3373,7711,0
100000080,2019-09-30,1013,2111,1542,0
100000080,2019-12-31,5646,1929,8867,0
100000080,2020-03-31,6568,1029,3799,0
100000080,2020-06-30,9755,1154,5844,0
100000081,2018-12-31,9549,2409,6368,0
100000081,2019-03-31,1010,4440,4109,0
100000081,2019-06-30,6728,2269,2272,0
100000082,2018-12-31,440,482,9848,0
100000082,2019-03-31,8591,238,458,0
100000082,2019-06-30,5031,9814,3556,0
100000082,2019-09-30,1727,9595,6726,0
100000082,2019-12-31,5104,9426,6752,0
100000082,2020-03-31,6516,3270,3935,0
100000082,2020-06-30,8117,2251,9529,0
100000083,2018-12-31,6638,9802,575,0
100000083,2019-03-31,7784,9268,1307,0
100000083,2019-06-30,2060,657,982,0
100000083,2019-09-30,4861,5967,7063,0
100000083,2019-12-31,7266,8029,5447,0
100000083,2020-03-31,7369,9902,8225,0
100000083,2020-06-30,2554,4594,2046,0
100000084,2018-12-31,1963,215,7184,0
100000084,2019-03-31,8116,2484,4035,0
100000084,2019-06-30,7842,5542,2590,0
100000084,2019-09-30,7080,9234,7761,0
100000084,2019-12-31,1824,8282,2867,0
100000084,2020-03-31,1237,4217,3520,0
100000084,2020-06-30,5945,4878,4006,0
100000085,2018-12-31,4308,8833,1188,0
100000085,2019-03-31,3463,124,9864,0
100000085,2019-06-30,6244,5768,4336,0
100000085,2019-09-30,8168,2335,7395,0
100000086,2018-12-31,8013,7647,7923,0
100000086,2019-03-31,7455,6565,1597,0
100000086,2019-06-30,2655,5509,3051,0
100000086,2019-09-30,1338,9265,4827,0
100000086,2019-12-31,4065,5786,9342,0
100000086,2020-03-31,3801,2880,7498,0
100000086,2020-06-30,1688,2468,5889,0
100000087,2018-12-31,8951,259,6655,0
100000087,2019-03-31,9303,8344,6946,0
100000087,2019-06-30,2407,1328,7326,0
100000087,2019-09-30,5690,7019,5685,0
100000087,2019-12-31,9327,6146,5045,0
100000087,2020-03-31,8027,7116,7858,0
100000087,2020-06-30,5186,9556,7261,0
100000088,2018-12-31,5838,4332,5893,0
100000088,2019-03-31,4623,5671,9110,0
100000088,2019-06-30,9398,2324,8489,0
100000088,2019-09-30,6191,8762,6461,0
100000088,2019-12-31,2048,7194,6418,0
100000088,2020-03-31,3896,334,9220,0
100000088,2020-06-30,3707,8143,622,0
100000089,2018-12-31,1619,5877,8035,0
100000089,2019-03-31,6193,8518,5455,0
100000089,2019-06-30,5068,9183,5674,0
100000089,2019-09-30,4172,2357,8688,0
100000089,2019-12-31,4524,3337,3993,0
100000089,2020-03-31,2105,2116,9488,0
100000089,2020-06-30,1872,8453,4076,0
100000090,2018-12-31,1773,6808,8082,0
100000090,2019-03-31,2200,3848,3273,0
100000090,2019-06-30,1915,3941,8116,0
100000090,2019-09-30,7111,4593,774,0
100000090,2019-12-31,8188,8678,2258,0
100000090,2020-03-31,2761,2164,3353,0
100000090,2020-06-30,5079,7803,9031,0
100000091,2018-12-31,6298,4125,2666,0
100000091,2019-03-31,2903,3809,6255,0
100000091,2019-06-30,819,6616,4679,0
100000091,2019-09-30,1072,3818,7495,0
100000091,2019-12-31,4502,4652,2307,0
100000091,2020-03-31,4526,7019,8935,0
100000091,2020-06-30,8486,8780,2304,0
100000092,2018-12-31,5790,7759,125,0
100000092,2019-03-31,7568,6510,8752,0
100000092,2019-06-30,3864,6699,5202,0
100000092,2019-09-30,7106,3583,2094,0
100000092,2019-12-31,8782,1172,6807,0
100000092,2020-03-31,315,7705,9884,0
100000092,2020-06-30,2706,8450,4881,0
100000093,2018-12-31,2032,1857,5185,0
100000093,2019-03-31,5737,1216,592,0
100000093,2019-06-30,8911,7988,6574,0
100000094,2018-12-31,2509,8299,3523,0
100000094,2019-03-31,7076,7694,5258,0
100000094,2019-06-30,3767,6073,6336,0
100000094,2019-09-30,8377,2568,6317,0
100000094,2019-12-31,3719,1736,8255,0
100000094,2020-03-31,3683,4109,3426,0
100000095,2018-12-31,6789,2276,3843,0
100000095,2019-03-31,8892,4522,3924,0
100000095,2019-06-30,9271,2551,728,0
100000096,2018-12-31,6342,1232,799,0
100000096,2019-03-31,7570,6397,7912,0
100000096,2019-06-30,4657,2279,9165,0
100000096,2019-09-30,8375,1522,3280,0
100000096,2019-12-31,4416,6796,9683,0
100000096,2020-03-31,714,4670,370,0
100000096,2020-06-30,2568,9682,3707,0
100000097,2018-12-31,3932,8991,5545,0
100000097,2019-03-31,1480,9965,6634,0
100000097,2019-06-30,3256,4407,5734,0
100000097,2019-09-30,8675,5910,8633,0
100000097,2019-12-31,6034,3209,4182,0
100000097,2020-03-31,3340,6128,1949,0
100000097,2020-06-30,8597,2849,6780,0
100000098,2018-12-31,9268,3822,3651,0
100000098,2019-03-31,2932,5779,6679,0
100000098,2019-06-30,252,5854,2900,0
100000098,2019-09-30,5410,2710,1204,0
100000098,2019-12-31,7461,4299,3954,0
100000098,2020-03-31,7363,2014,7465,0
100000098,2020-06-30,3172,9298,506,0
100000099,2018-12-31,7842,8852,9391,0
100000099,2019-03-31,2003,274,2330,0
100000099,2019-06-30,4387,4260,7206,0
100000099,2019-09-30,9789,3271,1667,0
100000099,2019-12-31,1251,7719,6133,0
100000099,2020-03-31,8660,5046,8334,0
100000099,2020-06-30,2007,3590,2635,0
100000100,2018-12-31,489,1099,1955,0
100000100,2019-03-31,8225,8950,2863,0
100000100,2019-06-30,3763,5086,1581,0
100000100,2019-09-30,7356,3831,7362,0
100000100,2019-12-31,551,9829,3193,0
100000100,2020-03-31,982,4508,4168,0
100000100,2020-06-30,3377,8666,8051,0
100000101,2018-12-31,7336,6361,987,0
100000101,2019-03-31,3204,149,4051,0
100000101,2019-06-30,3660,118,4921,0
100000101,2019-09-30,6440,8158,9765,0
100000101,2019-12-31,2706,7946,8743,0
100000101,2020-03-31,6532,3865,2538,0
100000101,2020-06-30,9841,6458,8419,0
100000102,2018-12-31,617,7837,9633,0
100000102,2020-03-31,6263,2700,2295,0
100000102,2020-06-30,3654,2949,1842,0
100000103,2018-12-31,1371,1913,8901,0
100000103,2019-03-31,2561,4220,6224,0
100000103,2019-06-30,8575,4496,9383,0
100000103,2019-09-30,916,7404,7431,0
100000103,2019-12-31,182,2020,7917,0
100000103,2020-03-31,2193,7171,8067,0
100000103,2020-06-30,8467,5385,5037,0
100000104,2018-12-31,2524,9356,4117,0
100000104,2019-03-31,8660,8442,1234,0
100000104,2019-06-30,5266,5219,5794,0
100000104,2019-09-30,6236,5585,4264,0
100000104,2019-12-31,2446,5139,4997,0
100000104,2020-03-31,8352,5141,4001,0
100000104,2020-06-30,1437,1284,4526,0
100000105,2018-12-31,8785,589,6964,0
100000105,2019-03-31,7340,7886,8124,0
100000105,2019-06-30,394,5588,4127,0
100000105,2019-09-30,3012,4844,1973,0
100000105,2019-12-31,3358,2917,8736,0
100000105,2020-03-31,3741,4558,5407,0
100000105,2020-06-30,9033,2141,779,0
100000106,2018-12-31,9114,3174,8412,0
100000106,2019-03-31,7652,1737,5203,0
100000106,2019-06-30,9216,744,2132,0
100000106,2019-09-30,2861,2168,341,0
100000106,2019-12-31,2768,902,5159,0
100000106,2020-03-31,295,2287,2430,0
100000106,2020-06-30,4941,3706,8568,0
100000107,2018-12-31,7306,761,2572,0
100000107,2019-03-31,186,6319,8243,0
100000107,2019-06-30,7068,2873,1800,0
100000107,2019-09-30,2800,6915,1747,0
100000107,2019-12-31,6138,5264,5620,0
100000107,2020-03-31,3787,696,4645,0
100000108,2018-12-31,5883,7851,5728,0
100000108,2019-03-31,8428,3460,3105,0
100000108,2019-06-30,3652,118,2342,0
100000108,2019-09-30,6418,5197,8740,0
100000108,2019-12-31,2048,9237,5718,0
100000108,2020-03-31,4336,7001,2020,0
100000108,2020-06-30,4288,338,304,0
100000109,2018-12-31,8542,1888,7474,0
100000109,2019-03-31,3800,9459,3993,0
100000109,2019-06-30,6911,9388,2779,0
100000109,2019-09-30,4004,7360,604,0
100000109,2019-12-31,9913,9679,6873,0
100000109,2020-03-31,3916,817,4534,0
100000109,2020-06-30,758,5157,4108,0
100000110,2019-12-31,102,8497,6051,0
100000110,2020-03-31,5726,7839,6103,0
100000110,2020-06-30,2990,6339,8126,0
100000111,2018-12-31,9795,3892,5430,0
100000111,2019-03-31,7971,8335,3712,0
100000111,2019-06-30,2718,4778,3263,0
100000111,2019-09-30,9580,3042,8511,0
100000111,2019-12-31,2025,3072,1090,0
100000111,2020-03-31,1912,9095,589,0
100000111,2020-06-30,5976,9785,3745,0
100000112,2018-12-31,3378,5555,3901,0
100000112,2019-03-31,2661,6639,470,0
100000112,2019-06-30,957,4986,7585,0
100000112,2019-09-30,483,4434,4390,0
100000112,2019-12-31,2825,6304,6211,0
100000112,2020-03-31,4351,1022,3015,0
100000112,2020-06-30,8057,3146,9266,0
100000113,2018-12-31,5810,9832,2975,0
100000113,2019-03-31,3291,1937,789,0
100000113,2019-06-30,3859,2203,465,0
100000113,2019-09-30,8192,4272,6133,0
100000113,2019-12-31,2478,1305,5088,0
100000113,2020-03-31,5769,2835,9967,0
100000113,2020-06-30,8590,1056,9406,0
100000114,2018-12-31,3604,1091,6147,0
100000114,2019-03-31,3939,1358,7709,0
100000114,2019-06-30,8806,4904,167,0
100000114,2019-09-30,9888,5760,4578,0
100000114,2019-12-31,8310,3621,672,0
100000115,2018-12-31,3061,3326,6937,0
100000115,2019-03-31,7131,9390,9231,0
100000115,2019-06-30,3816,3514,1548,0
100000115,2019-09-30,670,3004,2605,0
100000115,2019-12-31,1017,7082,7527,0
100000115,2020-03-31,6436,1778,715,0
100000115,2020-06-30,7186,4849,3605,0
100000116,2018-12-31,5313,4208,3120,0
100000116,2019-03-31,1957,9096,9236,0
100000116,2019-06-30,2889,3975,7705,0
100000116,2019-09-30,9902,8235,6155,0
100000116,2019-12-31,3982,7275,7229,0
100000116,2020-03-31,5121,4835,2487,0
100000116,2020-06-30,6682,9233,5966,0
100000117,2018-12-31,6874,7531,1330,0
100000117,2019-03-31,9176,3905,6519,0
100000117,2019-06-30,5850,3956,3235,0
100000117,2019-09-30,7053,9216,6134,0
100000117,2019-12-31,4689,1646,6165,0
100000117,2020-03-31,1194,2511,2717,0
100000117,2020-06-30,9054,4245,2875,0
100000118,2018-12-31,749,4234,7687,0
100000118,2019-03-31,8928,1136,4231,0
100000118,2020-06-30,6481,7622,6159,0
100000119,2018-12-31,629,5167,8180,0
100000119,2019-03-31,5618,2253,9586,0
100000119,2019-06-30,6194,7074,9818,0
100000119,2019-09-30,4874,7792,3203,0
100000119,2019-12-31,2540,4235,7224,0
100000119,2020-03-31,5301,944,546,0
100000119,2020-06-30,4015,3209,1334,0
100000120,2018-12-31,1730,4505,6239,0
100000120,2019-03-31,1674,1795,3358,0
100000120,2019-06-30,3362,1545,6363,0
100000120,2019-09-30,8511,152,5670,0
100000120,2019-12-31,7679,1766,7001,0
100000120,2020-03-31,2885,819,8697,0
100000120,2020-06-30,6955,2394,8363,0
100000121,2018-12-31,6631,4720,3085,0
100000121,2020-03-31,4304,7546,8619,0
100000121,2020-06-30,414,1234,4976,0
100000122,2018-12-31,1217,2928,1747,0
100000122,2020-03-31,9359,2886,3891,0
100000122,2020-06-30,9580,3971,1906,0
100000123,2018-12-31,8715,9883,4585,0
100000123,2019-03-31,8200,8784,291,0
100000123,2019-06-30,8790,5017,5931,0
100000123,2019-09-30,9548,4422,7099,0
100000123,2019-12-31,9108,7382,9765,0
100000123,2020-03-31,9378,1974,9162,0
100000123,2020-06-30,4863,8564,9321,0
100000124,2018-12-31,9670,5969,8139,0
100000124,2019-03-31,4991,5092,2061,0
100000124,2019-06-30,2963,6703,4667,0
100000124,2019-09-30,6613,4105,9214,0
100000124,2019-12-31,283,7855,3458,0
100000124,2020-03-31,6715,9690,6897,0
100000124,2020-06-30,8828,7778,5798,0
100000125,2019-03-31,6611,228,9561,0
100000125,2019-06-30,3772,9893,4865,0
100000125,2019-09-30,4070,7645,5652,0
100000125,2019-12-31,727,6689,2144,0
100000125,2020-03-31,2441,5984,8285,0
100000125,2020-06-30,349,3025,5143,0
100000126,2018-12-31,9978,8483,7509,0
100000126,2019-03-31,4540,7447,1108,0
100000126,2019-06-30,3883,6746,4398,0
100000126,2019-09-30,4768,4387,2152,0
100000126,2019-12-31,6109,1816,410,0
100000126,2020-03-31,4638,1360,4032,0
100000126,2020-06-30,684,7716,8651,0
100000127,2018-12-31,6200,1819,6786,0
100000127,2019-03-31,1687,7100,9903,0
100000127,2019-06-30,996,5658,8569,0
100000127,2019-09-30,4747,9928,2532,0
100000127,2019-12-31,4004,6937,1549,0
100000127,2020-03-31,4600,5554,9524,0
100000127,2020-06-30,4217,8969,2128,0
100000128,2018-12-31,8062,368,2562,0
100000128,2019-03-31,9560,1115,9375,0
100000128,2019-06-30,8084,506,7484,0
100000128,2019-09-30,6149,6269,8082,0
100000128,2019-12-31,1085,4585,9001,0
100000128,2020-03-31,2718,6389,9703,0
100000128,2020-06-30,7028,5468,4721,0
100000129,2019-06-30,7123,4007,907,0
100000129,2019-09-30,8478,4927,4624,0
100000129,2019-12-31,9599,2384,5413,0
100000129,2020-03-31,857,4987,3954,0
100000129,2020-06-30,3658,9872,1061,0
100000130,2018-12-31,6815,4366,7649,0
100000130,2019-03-31,6416,2810,8744,0
100000130,2019-06-30,8169,1757,2641,0
100000130,2019-09-30,6863,3175,3264,0
100000131,2018-12-31,7801,1316,4151,0
100000131,2019-03-31,2297,2906,9070,0
100000131,2019-06-30,1072,5734,7583,0
100000131,2019-09-30,2223,8890,324,0
100000131,2019-12-31,9132,1914,1206,0
100000131,2020-03-31,224,3346,3031,0
100000131,2020-06-30,3071,2117,7515,0
100000132,2019-09-30,8532,5974,1653,0
100000132,2019-12-31,1112,8478,1981,0
100000132,2020-03-31,6899,4686,8722,0
100000132,2020-06-30,8530,6547,2445,0
100000133,2018-12-31,564,4571,1927,0
100000133,2019-03-31,8811,6056,189,0
100000133,2019-06-30,4915,2951,2943,0
100000133,2019-09-30,9217,6643,6001,0
100000133,2019-12-31,1069,1194,6224,0
100000133,2020-03-31,7447,3295,1504,0
100000133,2020-06-30,7040,4390,4082,0
100000134,2018-12-31,7208,9241,4039,0
100000134,2019-03-31,144,1910,4666,0
100000134,2019-06-30,9121,2009,6464,0
100000134,2019-09-30,2681,791,1031,0
100000134,2019-12-31,8010,6482,3506,0
100000134,2020-03-31,8439,1132,1411,0
100000134,2020-06-30,8679,3221,1973,0
100000135,2018-12-31,387,6053,4382,0
100000135,2019-03-31,2007,1261,229,0
100000135,2019-06-30,6437,2463,8251,0
100000136,2018-12-31,9109,7598,6736,0
100000136,2019-03-31,7462,111,294,0
100000136,2019-06-30,2637,2942,2329,0
100000136,2019-09-30,3109,8084,2177,0
100000136,2019-12-31,7945,3967,4973,0
100000136,2020-03-31,8735,397,5956,0
100000136,2020-06-30,9136,1115,1484,0
100000137,2018-12-31,1981,8813,3909,0
100000137,2019-03-31,5907,4983,7306,0
100000137,2019-06-30,4255,4773,1509,0
100000137,2019-09-30,9986,5297,7552,0
100000137,2019-12-31,8818,2272,379,0
100000137,2020-03-31,4077,2769,7925,0
100000137,2020-06-30,4081,4869,5347,0
100000138,2018-12-31,5160,5974,5681,0
100000138,2019-03-31,2114,3889,9203,0
100000138,2019-06-30,7248,7866,2464,0
100000138,2019-09-30,3729,6019,5775,0
100000138,2019-12-31,8972,6738,4751,0
100000138,2020-03-31,709,8040,3966,0
100000138,2020-06-30,471,7098,715,0
100000139,2019-03-31,3961,2085,5032,0
100000139,2019-06-30,4703,2878,9562,0
100000139,2019-09-30,8932,7854,4178,0
100000139,2019-12-31,1467,4142,2675,0
100000139,2020-03-31,6854,1681,2086,0
100000139,2020-06-30,2340,4066,7704,0
100000140,2018-12-31,4185,8054,7369,0
100000140,2019-03-31,7230,6928,8462,0
100000140,2019-06-30,8944,6431,3612,0
100000140,2019-09-30,1599,2258,5262,0
100000140,2019-12-31,4139,2135,8077,0
100000140,2020-03-31,957,3923,6870,0
100000140,2020-06-30,9341,398,7344,0
100000141,2019-03-31,5796,1566,4057,0
100000141,2019-06-30,2066,475,362,0
100000141,2019-09-30,4462,6602,7933,0
100000141,2019-12-31,1993,8206,1752,0
100000141,2020-03-31,5640,3992,699,0
100000141,2020-06-30,4915,2012,9584,0
100000142,2018-12-31,1020,9369,7108,0
100000142,2019-03-31,2481,3718,9089,0
100000142,2019-06-30,4543,372,1873,0
100000142,2019-09-30,2647,3264,4880,0
100000142,2019-12-31,1046,606,6819,0
100000142,2020-03-31,8535,8797,6460,0
100000142,2020-06-30,7757,3690,1292,0
100000143,2018-12-31,7780,7445,4486,0
100000143,2019-03-31,1019,2439,9047,0
100000143,2019-06-30,6030,5502,5763,0
100000143,2019-09-30,5375,607,1536,0
100000143,2019-12-31,8850,7454,4616,0
100000143,2020-03-31,3722,4499,5137,0
100000143,2020-06-30,8211,3815,7937,0
100000144,2018-12-31,7311,2745,8310,0
100000144,2019-03-31,9416,8033,5576,0
100000144,2019-06-30,8028,2180,6189,0
100000144,2019-09-30,7496,9839,7897,0
100000144,2019-12-31,961,8446,3594,0
100000144,2020-03-31,1004,1369,504,0
100000144,2020-06-30,9135,9856,1284,0
100000145,2018-12-31,9182,6848,6203,0
100000145,2019-03-31,1573,3343,2281,0
100000145,2019-06-30,9741,3196,6746,0
100000145,2019-09-30,9882,5982,6082,0
100000145,2019-12-31,5898,9727,8515,0
100000145,2020-03-31,8511,9946,8556,0
100000145,2020-06-30,9245,4624,6659,0
100000146,2018-12-31,5615,2770,3465,0
100000146,2019-03-31,688,3238,9195,0
100000146,2019-06-30,6763,4186,8631,0
100000146,2019-09-30,4370,6119,656,0
100000146,2019-12-31,8122,5552,3667,0
100000146,2020-03-31,3999,6577,7600,0
100000146,2020-06-30,1116,6570,2162,0
100000147,2018-12-31,405,1789,9809,0
100000147,2019-03-31,4017,7180,8711,0
100000147,2019-06-30,3036,3962,9742,0
100000147,2019-09-30,5749,3361,9456,0
100000147,2019-12-31,1919,1442,5660,0
100000147,2020-03-31,2326,1179,4306,0
100000147,2020-06-30,6380,7335,913,0
100000148,2019-12-31,6993,9743,4758,0
100000148,2020-03-31,7182,6969,7707,0
100000148,2020-06-30,7769,6319,4634,0
100000149,2018-12-31,6553,6771,6783,0
100000149,2019-03-31,4639,8976,2987,0
100000149,2019-06-30,9754,4186,2361,0
100000149,2019-09-30,4280,2941,6140,0
100000149,2019-12-31,3660,4858,726,0
100000149,2020-03-31,5114,1475,1281,0
100000149,2020-06-30,5808,590,3829,0
